00:07:13.933, Connected as slave
01:26:43.817, -9 dBm, 28
01:26:43.824, -9 dBm, 28
01:26:43.934, -9 dBm, 28
01:26:43.943, -9 dBm, 28
01:26:44.064, -9 dBm, 28
01:26:44.070, -11 dBm, 29
01:26:44.077, -11 dBm, 29
01:26:44.082, -11 dBm, 29
01:26:44.191, -11 dBm, 29
01:26:44.198, -11 dBm, 29
01:26:44.321, -11 dBm, 29
01:26:44.328, -11 dBm, 29
01:26:44.335, -11 dBm, 29
01:26:44.343, -11 dBm, 29
01:26:44.449, -11 dBm, 29
01:26:44.455, -11 dBm, 29
01:26:44.578, -11 dBm, 29
01:26:44.585, -11 dBm, 29
01:26:44.591, -11 dBm, 29
01:26:44.611, -11 dBm, 29
01:26:44.706, -11 dBm, 29
01:26:44.712, -11 dBm, 29
01:26:44.835, -11 dBm, 29
01:26:44.841, -11 dBm, 30
01:26:44.847, -11 dBm, 30
01:26:44.853, -11 dBm, 30
01:26:44.967, -11 dBm, 30
01:26:44.972, -11 dBm, 30
01:26:45.093, -11 dBm, 30
01:26:45.098, -10 dBm, 27
01:26:45.108, -10 dBm, 27
01:26:45.115, -10 dBm, 27
01:26:45.219, -10 dBm, 27
01:26:45.227, -10 dBm, 27
01:26:45.350, -10 dBm, 27
01:26:45.357, -11 dBm, 28
01:26:45.363, -11 dBm, 28
01:26:45.369, -11 dBm, 28
01:26:45.478, -11 dBm, 28
01:26:45.484, -11 dBm, 28
01:26:45.609, -11 dBm, 28
01:26:45.645, -10 dBm, 28
01:26:45.650, -10 dBm, 28
01:26:45.657, -10 dBm, 28
01:26:45.735, -10 dBm, 28
01:26:45.745, -10 dBm, 28
01:26:45.865, -10 dBm, 28
01:26:45.870, -11 dBm, 28
01:26:45.876, -11 dBm, 28
01:26:45.887, -11 dBm, 28
01:26:45.992, -11 dBm, 28
01:26:45.998, -11 dBm, 28
01:26:46.122, -11 dBm, 28
01:26:46.130, -11 dBm, 28
01:26:46.136, -11 dBm, 28
01:26:46.143, -11 dBm, 28
01:26:46.250, -11 dBm, 28
01:26:46.256, -11 dBm, 28
01:26:46.379, -11 dBm, 28
01:26:46.386, -11 dBm, 30
01:26:46.393, -11 dBm, 30
01:26:46.399, -11 dBm, 30
01:26:46.507, -11 dBm, 30
01:26:46.514, -11 dBm, 30
01:26:46.639, -11 dBm, 30
01:26:46.646, -12 dBm, 27
01:26:46.663, -12 dBm, 27
01:26:46.669, -12 dBm, 27
01:26:46.765, -12 dBm, 27
01:26:46.771, -12 dBm, 27
01:26:46.897, -12 dBm, 27
01:26:46.904, -11 dBm, 28
01:26:46.910, -11 dBm, 28
01:26:46.916, -11 dBm, 28
01:26:47.028, -11 dBm, 28
01:26:47.035, -11 dBm, 28
01:26:47.154, -11 dBm, 28
01:26:47.161, -10 dBm, 21
01:26:47.168, -10 dBm, 21
01:26:47.179, -10 dBm, 21
01:26:47.282, -10 dBm, 21
01:26:47.288, -10 dBm, 21
01:26:47.412, -10 dBm, 21
01:26:47.420, -11 dBm, 29
01:26:47.426, -11 dBm, 29
01:26:47.432, -11 dBm, 29
01:26:47.539, -11 dBm, 29
01:26:47.545, -11 dBm, 29
01:26:47.669, -11 dBm, 29
01:26:47.675, -11 dBm, 26
01:26:47.682, 01:33:07.771, -9 dBm, 25
01:33:08.027, -10 dBm, 23
01:33:08.283, -9 dBm, 22
01:33:08.541, -9 dBm, 24
01:33:08.798, -9 dBm, 31
01:33:09.054, -9 dBm, 24
01:33:09.309, -9 dBm, 26
01:33:09.568, -10 dBm, 22
01:33:09.824, -9 dBm, 24
01:33:10.082, -9 dBm, 28
01:33:10.339, -9 dBm, 27
01:33:10.595, -9 dBm, 23
01:33:10.851, -11 dBm, 21
01:33:11.109, -9 dBm, 24
01:33:11.370, -10 dBm, 19
01:33:11.622, -10 dBm, 24
01:33:11.883, -10 dBm, 27
01:33:12.137, -9 dBm, 21
01:33:12.392, -9 dBm, 25
01:33:12.650, -9 dBm, 25
01:33:12.905, -9 dBm, 28
01:33:13.163, -9 dBm, 26
01:33:13.419, -9 dBm, 26
01:33:13.676, -9 dBm, 29
01:33:20.421, error
01:33:21.546, error
01:33:22.668, error
01:33:23.793, error
01:33:24.916, error
01:33:26.041, error
01:33:27.166, error
01:33:28.289, error
01:33:29.432, error
01:33:30.539, error
01:36:09.050, -9 dBm, 27
01:36:09.306, -8 dBm, 27
01:36:09.562, -9 dBm, 28
01:36:09.820, -9 dBm, 27
01:36:10.079, -8 dBm, 27
01:36:10.334, -9 dBm, 25
01:36:10.717, -9 dBm, 26
01:36:10.848, -9 dBm, 27
01:36:11.104, -9 dBm, 25
01:36:11.361, -9 dBm, 26
01:36:11.618, -9 dBm, 27
01:36:11.875, -9 dBm, 28
01:36:12.134, -9 dBm, 27
01:36:12.390, -9 dBm, 27
01:36:12.645, -9 dBm, 29
01:37:39.857, error
01:37:40.066, -9 dBm, 27
01:37:40.321, -9 dBm, 27
01:37:40.579, -9 dBm, 27
01:37:40.835, -9 dBm, 26
